,age,sibsp,parch,fare,first_class?,sex_male,embarked_C,embarked_Q,SCORE
123,32.5,0,0,13.0,0,0,0,0,0.11410051878973532
124,54.0,0,1,77.2875,1,1,0,0,0.9997610601125881
125,12.0,1,0,11.2417,0,1,1,0,0.007162666660202722
127,24.0,0,0,7.1417,0,1,0,0,0.03049724203023463
129,45.0,0,0,6.975,0,1,0,0,0.11179805904030225
130,33.0,0,0,7.8958,0,1,1,0,0.12097963409279229
131,20.0,0,0,7.05,0,1,0,0,0.02315650252543759
132,47.0,1,0,14.5,0,0,0,0,0.05255587610911305
133,29.0,1,0,26.0,0,0,0,0,0.08685734567588785
134,25.0,0,0,13.0,0,1,0,0,0.0758122459892412
135,23.0,0,0,15.0458,0,1,1,0,0.1725299793821155
136,19.0,0,2,26.2833,1,0,0,0,0.06194572245906175
137,37.0,1,0,53.1,1,1,0,0,0.9138281380367931
138,16.0,0,0,9.2167,0,1,0,0,0.02456951290426724
139,24.0,0,0,79.2,1,1,1,0,0.9997412904745194
141,22.0,0,0,7.75,0,0,0,0,0.02780785809267171
142,24.0,1,0,15.85,0,0,0,0,0.01430147129695438
143,19.0,0,0,6.75,0,1,0,1,0.014013774961979805
144,18.0,0,0,11.5,0,1,0,0,0.03918357009482077
145,19.0,1,1,36.75,0,1,0,0,0.09735348046805015
146,27.0,0,0,7.7958,0,1,0,0,0.04078031123682933
147,9.0,2,2,34.375,0,0,0,0,0.0019268331285356311
148,36.5,0,2,26.0,0,1,0,0,0.1778730343992858
149,42.0,0,0,13.0,0,1,0,0,0.20462977793713008
150,51.0,0,0,12.525,0,1,0,0,0.30476152331223627
151,22.0,1,0,66.6,1,0,0,0,0.9662158267747794
152,55.5,0,0,8.05,0,1,0,0,0.23094940556118995
153,40.5,0,2,14.5,0,1,0,0,0.046912335943971865
155,51.0,0,1,61.3792,1,1,1,0,0.9984581434726886
156,16.0,0,0,7.7333,0,0,0,1,0.01263115964780946
157,30.0,0,0,8.05,0,1,0,0,0.051293606506184676
160,44.0,0,1,16.1,0,1,0,0,0.1621804725435575
161,40.0,0,0,15.75,0,0,0,0,0.24474008355367866
162,26.0,0,0,7.775,0,1,0,0,0.03811366589303755
163,17.0,0,0,8.6625,0,1,0,0,0.024163599500642268
164,1.0,4,1,39.6875,0,1,0,0,0.00010868504467804426
165,9.0,0,2,20.525,0,1,0,0,0.014588633627250422
167,45.0,1,4,27.9,0,0,0,0,0.010455785766612529
169,28.0,0,0,56.4958,0,1,0,0,0.9868526411178254
170,61.0,0,0,33.5,1,1,0,0,0.9542918125950983
171,4.0,4,1,29.125,0,1,0,1,1.7897482946590666e-05
172,1.0,1,1,11.1333,0,0,0,0,0.0006184801778531026
173,21.0,0,0,7.925,0,1,0,0,0.02814890022596196
174,56.0,0,0,30.6958,1,1,1,0,0.9539979414074053
175,18.0,1,1,7.8542,0,1,0,0,0.001241381863854451
177,50.0,0,0,28.7125,1,0,1,0,0.9066720494705989
178,30.0,0,0,13.0,0,1,0,0,0.1029873125125438
179,36.0,0,0,0.0,0,1,0,0,0.023230336195158796
182,9.0,4,2,31.3875,0,1,0,0,2.1609698839335724e-05
183,1.0,2,1,39.0,0,1,0,0,0.005820732776485823
184,4.0,0,2,22.025,0,0,0,0,0.01244442515176296
187,45.0,0,0,26.55,1,1,0,0,0.7120868151965835
188,40.0,1,1,15.5,0,1,0,1,0.011583486928793844
189,36.0,0,0,7.8958,0,1,0,0,0.07326646704895443
190,32.0,0,0,13.0,0,0,0,0,0.1107460796992276
191,19.0,0,0,13.0,0,1,0,0,0.05195200289453553
192,19.0,1,0,7.8542,0,0,0,0,0.0030619957978081976
193,3.0,1,1,26.0,0,1,0,0,0.007116146173619457
194,44.0,0,0,27.7208,1,0,1,0,0.8480462892484308
195,58.0,0,0,146.5208,1,0,1,0,0.9999999990110247
197,42.0,0,1,8.4042,0,1,0,0,0.04986090193950813
199,24.0,0,0,13.0,0,0,0,0,0.06779598352181994
200,28.0,0,0,9.5,0,1,0,0,0.05565005424056608
202,34.0,0,0,6.4958,0,1,0,0,0.05289862689274457
203,45.5,0,0,7.225,0,1,1,0,0.22360850876768532
204,18.0,0,0,8.05,0,1,0,0,0.023559328244849142
205,2.0,0,1,10.4625,0,0,0,0,0.004600788540473892
206,32.0,1,0,15.85,0,1,0,0,0.025532796037170104
207,26.0,0,0,18.7875,0,1,1,0,0.31070123476574096
208,16.0,0,0,7.75,0,0,0,1,0.01266288500858036
209,40.0,0,0,31.0,1,1,1,0,0.8810533409583936
210,24.0,0,0,7.05,0,1,0,0,0.030087447436120292
211,35.0,0,0,21.0,0,0,0,0,0.3397638404552521
212,22.0,0,0,7.25,0,1,0,0,0.027195084875822697
213,30.0,0,0,13.0,0,1,0,0,0.1029873125125438
215,31.0,1,0,113.275,1,0,1,0,0.9999926112123867
216,27.0,0,0,7.925,0,0,0,0,0.03948988476839266
217,42.0,1,0,27.0,0,1,0,0,0.2187035211960591
218,32.0,0,0,76.2917,1,0,1,0,0.9997520020532319
219,30.0,0,0,10.5,0,1,0,0,0.07277646146834357
220,16.0,0,0,8.05,0,1,0,0,0.020656171877202915
221,27.0,0,0,13.0,0,1,0,0,0.08578834715047262
222,51.0,0,0,8.05,0,1,0,0,0.18160216477624155
224,38.0,1,0,90.0,1,1,0,0,0.9996785427535131
225,22.0,0,0,9.35,0,1,0,0,0.0370524855480384
226,19.0,0,0,10.5,0,1,0,0,0.03610946341222988
227,20.5,0,0,7.25,0,1,0,0,0.024650356036167574
228,18.0,0,0,13.0,0,1,0,0,0.04873834353405419
230,35.0,1,0,83.475,1,0,0,0,0.9988816397709599
231,29.0,0,0,7.775,0,1,0,0,0.046238155778632904
232,59.0,0,0,13.5,0,1,0,0,0.4654333214487225
233,5.0,4,2,31.3875,0,0,0,0,1.5658910774822424e-05
234,24.0,0,0,10.5,0,1,0,0,0.04982015979393497
236,44.0,1,0,26.0,0,1,0,0,0.21570113426714155
237,8.0,0,2,26.25,0,0,0,0,0.030406043021481283
238,19.0,0,0,10.5,0,1,0,0,0.03610946341222988
239,33.0,0,0,12.275,0,1,0,0,0.11174419615804666
242,29.0,0,0,10.5,0,1,0,0,0.06836753247317992
243,22.0,0,0,7.125,0,1,0,0,0.026696481286599225
244,30.0,0,0,7.225,0,1,1,0,0.09220930115578745
245,44.0,2,0,90.0,1,1,0,1,0.9975312150641469
246,25.0,0,0,7.775,0,0,0,0,0.03393721218790294
247,24.0,0,2,14.5,0,0,0,0,0.015157111633332544
248,37.0,1,1,52.5542,1,1,0,0,0.8002216593934613
249,54.0,1,0,26.0,0,1,0,0,0.35011951052102214
251,29.0,1,1,10.4625,0,0,0,0,0.0036586042168938937
252,62.0,0,0,26.55,1,1,0,0,0.8858051641015623
253,30.0,1,0,16.1,0,1,0,0,0.023239914381186923
254,41.0,0,2,20.2125,0,0,0,0,0.1032253557574665
255,29.0,0,2,15.2458,0,0,1,0,0.04888024009276292
257,30.0,0,0,86.5,1,0,0,0,0.9998721231550385
258,35.0,0,0,512.3292,1,0,1,0,1.0
259,50.0,0,1,26.0,0,0,0,0,0.5533757179621014
261,3.0,4,2,31.3875,0,1,0,0,1.443592599276571e-05
262,52.0,1,1,79.65,1,1,0,0,0.998526261106008
263,40.0,0,0,0.0,1,1,0,0,0.030182697351497145
265,36.0,0,0,10.5,0,1,0,0,0.10514017190222451
266,16.0,4,1,39.6875,0,1,0,0,0.00029792403670641685
267,25.0,1,0,7.775,0,1,0,0,0.004767823074915998
268,58.0,0,1,153.4625,1,0,0,0,0.999999998214832
269,35.0,0,0,135.6333,1,0,0,0,0.999999948175808
271,25.0,0,0,0.0,0,1,0,0,0.011224010772871187
272,41.0,0,1,19.5,0,0,0,0,0.20105666543179143
273,37.0,0,1,29.7,1,1,1,0,0.6709245085858464
275,63.0,1,0,77.9583,1,0,0,0,0.9996057612210133
276,45.0,0,0,7.75,0,0,0,0,0.1183910705256529
278,7.0,4,1,29.125,0,1,0,1,2.1897463525690552e-05
279,35.0,1,1,20.25,0,0,0,0,0.023786667202242193
280,65.0,0,0,7.75,0,1,0,1,0.26727206625807143
281,28.0,0,0,7.8542,0,1,0,0,0.043864353405581785
282,16.0,0,0,9.5,0,1,0,0,0.025623880345786297
283,19.0,0,0,8.05,0,1,0,0,0.02515666498466417
285,33.0,0,0,8.6625,0,1,1,0,0.13394213798740953
286,30.0,0,0,9.5,0,1,0,0,0.06315432296844938
287,22.0,0,0,7.8958,0,1,0,0,0.0299186348818471
288,42.0,0,0,13.0,0,1,0,0,0.20462977793713008
289,22.0,0,0,7.75,0,0,0,1,0.018837162054322322
290,26.0,0,0,78.85,1,0,0,0,0.9994643683489449
291,19.0,1,0,91.0792,1,0,1,0,0.9995155050848082
292,36.0,0,0,12.875,0,1,1,0,0.2642568106353895
293,24.0,0,0,8.85,0,0,0,0,0.03724039620680044
294,24.0,0,0,7.8958,0,1,0,0,0.034078300543332524
296,23.5,0,0,7.2292,0,1,1,0,0.06160878628345131
297,2.0,1,2,151.55,1,0,0,0,0.9999980571362566
299,50.0,0,1,247.5208,1,0,1,0,0.9999999999999991
302,19.0,0,0,0.0,0,1,0,0,0.007525963957073171
305,0.92,1,2,151.55,1,1,0,0,0.9999980189535461
307,17.0,1,0,108.9,1,0,1,0,0.9999631498050722
308,30.0,1,0,24.0,0,1,1,0,0.14425249968786735
309,30.0,0,0,56.9292,1,0,1,0,0.9946305641583858
310,24.0,0,0,83.1583,1,0,1,0,0.9998505781223546
311,18.0,2,2,262.375,1,0,1,0,0.9999999999998854
312,26.0,1,1,26.0,0,0,0,0,0.030920630063279806
313,28.0,0,0,7.8958,0,1,0,0,0.04413055352827888
314,43.0,1,1,26.25,0,1,0,0,0.09879516227610381
315,26.0,0,0,7.8542,0,0,0,0,0.03663496221847611
316,24.0,1,0,26.0,0,0,0,0,0.06363651762386506
317,54.0,0,0,14.0,0,1,0,0,0.4016460470527626
318,31.0,0,2,164.8667,1,0,0,0,0.9999999952859455
319,40.0,1,1,134.5,1,0,1,0,0.9999996107989184
320,22.0,0,0,7.25,0,1,0,0,0.027195084875822697
321,27.0,0,0,7.8958,0,1,0,0,0.041379597830833
322,30.0,0,0,12.35,0,0,0,1,0.06208358901826558
323,22.0,1,1,29.0,0,0,0,0,0.03705937490507061
325,36.0,0,0,135.6333,1,0,1,0,0.9999999772508693
326,61.0,0,0,6.2375,0,1,0,0,0.24807737211609407
327,36.0,0,0,13.0,0,0,0,0,0.14013250728996635
328,31.0,1,1,20.525,0,0,0,0,0.019045939215279296
329,16.0,0,1,57.9792,1,0,1,0,0.9720630891761679
331,45.5,0,0,28.5,1,1,0,0,0.7748362020263451
332,38.0,0,1,153.4625,1,1,0,0,0.9999999935044181
333,16.0,2,0,18.0,0,1,0,0,0.0015999638642106523
336,29.0,1,0,66.6,1,1,0,0,0.9797117712272428
337,41.0,0,0,134.5,1,0,1,0,0.9999999806875396
338,45.0,0,0,8.05,0,1,0,0,0.12909777733072073
339,45.0,0,0,35.5,1,1,0,0,0.9061196728468096
340,2.0,1,1,26.0,0,1,0,0,0.006656480707778455
341,24.0,3,2,263.0,1,0,0,0,0.9999999999988542
342,28.0,0,0,13.0,0,1,0,0,0.09121073079865463
343,25.0,0,0,13.0,0,1,0,0,0.0758122459892412
344,36.0,0,0,13.0,0,1,0,0,0.1466607911311683
345,24.0,0,0,13.0,0,0,0,0,0.06779598352181994
346,40.0,0,0,13.0,0,0,0,0,0.17577527593495254
348,3.0,1,1,15.9,0,1,0,0,0.001539414537961739
349,42.0,0,0,8.6625,0,1,0,0,0.11737861722536058
350,23.0,0,0,9.225,0,1,0,0,0.038811940911172585
352,15.0,1,1,7.2292,0,1,1,0,0.001963629367534981
353,25.0,1,0,17.8,0,1,0,0,0.02154288739953085
355,28.0,0,0,9.5,0,1,0,0,0.05565005424056608
356,22.0,0,1,55.0,1,0,0,0,0.9395490868882743
357,38.0,0,0,13.0,0,0,0,0,0.15713342836325836
360,40.0,1,4,27.9,0,1,0,0,0.007898715275582327
361,29.0,1,0,27.7208,0,1,1,0,0.21728073658544284
362,45.0,0,1,14.4542,0,0,1,0,0.24558454594645351
363,35.0,0,0,7.05,0,1,0,0,0.061026606379459114
365,30.0,0,0,7.25,0,1,0,0,0.04568423311571898
366,60.0,1,0,75.25,1,0,1,0,0.999658051707733
369,24.0,0,0,69.3,1,0,1,0,0.9987709116617257
370,25.0,1,0,55.4417,1,1,1,0,0.9350381255580081
371,18.0,1,0,6.4958,0,1,0,0,0.002456972902097112
372,19.0,0,0,8.05,0,1,0,0,0.02515666498466417
373,22.0,0,0,135.6333,1,1,1,0,0.9999999447036341
374,3.0,3,1,21.075,0,0,0,0,5.371753559007002e-05
376,22.0,0,0,7.25,0,0,0,0,0.025823630122474097
377,27.0,0,2,211.5,1,1,1,0,0.9999999999977216
378,20.0,0,0,4.0125,0,1,1,0,0.03082648450162136
379,19.0,0,0,7.775,0,1,0,0,0.024150787885223016
380,42.0,0,0,227.525,1,0,1,0,0.9999999999999871
381,1.0,0,2,15.7417,0,0,1,0,0.008363383224086047
382,32.0,0,0,7.925,0,1,0,0,0.05721222186236285
383,35.0,1,0,52.0,1,0,0,0,0.881458893564598
385,18.0,0,0,73.5,0,1,0,0,0.9980400102494981
386,1.0,5,2,46.9,0,1,0,0,1.728281588494358e-05
387,36.0,0,0,13.0,0,0,0,0,0.14013250728996635
389,17.0,0,0,12.0,0,0,1,0,0.07672074000126712
390,36.0,1,2,120.0,1,1,0,0,0.9999772457655329
391,21.0,0,0,7.7958,0,1,0,0,0.02761614212946689
392,28.0,2,0,7.925,0,1,0,0,0.0007748423407199614
393,23.0,1,0,113.275,1,0,1,0,0.9999873473797201
394,24.0,0,2,16.7,0,0,0,0,0.02105546305547491
395,22.0,0,0,7.7958,0,1,0,0,0.029480228998519
396,31.0,0,0,7.8542,0,0,0,0,0.0505347285421893
397,46.0,0,0,26.0,0,1,0,0,0.7087053888855789
398,23.0,0,0,10.5,0,1,0,0,0.04673187215788721
399,28.0,0,0,12.65,0,0,0,0,0.08276616627272361
400,39.0,0,0,7.925,0,1,0,0,0.08855511707030317
401,26.0,0,0,8.05,0,1,0,0,0.039677449442821644
402,21.0,1,0,9.825,0,0,0,0,0.004719521333737795
403,28.0,1,0,15.85,0,1,0,0,0.01962982600206785
404,20.0,0,0,8.6625,0,0,0,0,0.02792561491834313
405,34.0,1,0,21.0,0,1,0,0,0.06157456287827238
406,51.0,0,0,7.75,0,1,0,0,0.1749172425445335
407,3.0,1,1,18.75,0,1,0,0,0.002372993336323133
408,21.0,0,0,7.775,0,1,0,0,0.02753129354241017
412,33.0,1,0,90.0,1,0,0,1,0.999293376861654
414,44.0,0,0,7.925,0,1,0,0,0.1197062569878863
416,34.0,1,1,32.5,0,0,0,0,0.12806929809298342
417,18.0,0,2,13.0,0,0,0,0,0.00811700042087159
418,30.0,0,0,13.0,0,1,0,0,0.1029873125125438
419,10.0,0,2,24.15,0,0,0,0,0.02540085630856564
421,21.0,0,0,7.7333,0,1,0,1,0.018532360435904238
422,29.0,0,0,7.875,0,1,0,0,0.04691372534680385
423,28.0,1,1,14.4,0,0,0,0,0.006210930241835709
424,18.0,1,1,20.2125,0,1,0,0,0.00808075808669558
426,28.0,1,0,26.0,0,0,0,0,0.08167050821379017
427,19.0,0,0,26.0,0,0,0,0,0.27299440822491433
429,32.0,0,0,8.05,0,1,0,0,0.058246653053890755
430,28.0,0,0,26.55,1,1,0,0,0.44090024540092
432,42.0,1,0,26.0,0,0,0,0,0.18564987260553234
433,17.0,0,0,7.125,0,1,0,0,0.019220779644266404
434,50.0,1,0,55.9,1,1,0,0,0.9749466307224224
435,14.0,1,2,120.0,1,0,0,0,0.9998946734971528
436,21.0,2,2,34.375,0,0,0,0,0.004307460900140419
437,24.0,2,3,18.75,0,0,0,0,0.00020159056574952343
438,64.0,1,4,263.0,1,1,0,0,0.9999999999999927
439,31.0,0,0,10.5,0,1,0,0,0.07744608044084572
440,45.0,1,1,26.25,0,0,0,0,0.10627552294475333
441,20.0,0,0,9.5,0,1,0,0,0.03326818191408199
442,25.0,1,0,7.775,0,1,0,0,0.004767823074915998
443,28.0,0,0,13.0,0,0,0,0,0.0868993332558239
445,4.0,0,2,81.8583,1,1,0,0,0.9916899408161567
446,13.0,0,1,19.5,0,0,0,0,0.03688478204923063
447,34.0,0,0,26.55,1,1,0,0,0.5413851477522404
448,5.0,2,1,19.2583,0,0,1,0,0.0007671902313126405
449,52.0,0,0,30.5,1,1,0,0,0.8783762122741791
450,36.0,1,2,27.75,0,1,0,0,0.034101017579934875
452,30.0,0,0,27.75,1,1,1,0,0.6975422179584595
453,49.0,1,0,89.1042,1,1,1,0,0.999917427756472
455,29.0,0,0,7.8958,0,1,1,0,0.09516513480442478
456,65.0,0,0,26.55,1,1,0,0,0.9046768982133643
458,50.0,0,0,10.5,0,0,0,0,0.22214801409765345
460,48.0,0,0,26.55,1,1,0,0,0.7516171102197596
461,34.0,0,0,8.05,0,1,0,0,0.06607656677068845
462,47.0,0,0,38.5,1,1,0,0,0.9457324105502338
463,48.0,0,0,13.0,0,1,0,0,0.2780457984688427
465,38.0,0,0,7.05,0,1,0,0,0.07366129278074876
467,56.0,0,0,26.55,1,1,0,0,0.8382360401639793
469,0.75,2,1,19.2583,0,0,1,0,0.0005766081819688872
471,38.0,0,0,8.6625,0,1,0,0,0.09225185847672904
472,33.0,1,2,27.75,0,0,0,0,0.026633215312219037
473,23.0,0,0,13.7917,0,0,1,0,0.14042679712982573
474,22.0,0,0,9.8375,0,0,0,0,0.03780947796725298
476,34.0,1,0,21.0,0,1,0,0,0.06157456287827238
477,29.0,1,0,7.0458,0,1,0,0,0.005579448753408672
478,22.0,0,0,7.5208,0,1,0,0,0.02830649606419785
479,2.0,0,1,12.2875,0,0,0,0,0.006064202968064804
480,9.0,5,2,46.9,0,1,0,0,2.9595026528253038e-05
482,50.0,0,0,8.05,0,1,0,0,0.171822089042022
483,63.0,0,0,9.5875,0,0,0,0,0.37333907179219794
484,25.0,1,0,91.0792,1,1,1,0,0.9996930453512911
486,35.0,1,0,90.0,1,0,0,0,0.9995852644653824
487,58.0,0,0,29.7,1,1,1,0,0.9532452185694897
488,30.0,0,0,8.05,0,1,0,0,0.051293606506184676
489,9.0,1,1,15.9,0,1,0,0,0.0023026644361679657
491,21.0,0,0,7.25,0,1,0,0,0.025471699401871103
492,55.0,0,0,30.5,1,1,0,0,0.8983347428969728
493,71.0,0,0,49.5042,1,1,1,0,0.998995206510204
494,21.0,0,0,8.05,0,1,0,0,0.028673831130663126
496,54.0,1,0,78.2667,1,0,1,0,0.9996765122297535
498,25.0,1,2,151.55,1,0,0,0,0.9999995861761921
499,24.0,0,0,7.7958,0,1,0,0,0.03358105193321798
500,17.0,0,0,8.6625,0,1,0,0,0.024163599500642268
501,21.0,0,0,7.75,0,0,0,1,0.017633827391344677
503,37.0,0,0,9.5875,0,0,0,0,0.0939686375673999
504,16.0,0,0,86.5,1,0,0,0,0.9996722657299895
505,18.0,1,0,108.9,1,1,1,0,0.9999673295251381
506,33.0,0,2,26.0,0,0,0,0,0.13951623578725922
508,28.0,0,0,22.525,0,1,0,0,0.29946363587508107
509,26.0,0,0,56.4958,0,1,0,0,0.9849886472829654
510,29.0,0,0,7.75,0,1,0,1,0.03139877734249298
512,36.0,0,0,26.2875,1,1,0,0,0.5647496593279792
513,54.0,1,0,59.4,1,0,1,0,0.9943235536864423
514,24.0,0,0,7.4958,0,1,0,0,0.03213098279060684
515,47.0,0,0,34.0208,1,1,0,0,0.8981273787404054
516,34.0,0,0,10.5,0,0,0,0,0.0887491611051383
518,36.0,1,0,26.0,0,0,0,0,0.13216420898402267
519,32.0,0,0,7.8958,0,1,0,0,0.05697307699252025
520,30.0,0,0,93.5,1,0,0,0,0.9999559112202653
521,22.0,0,0,7.8958,0,1,0,0,0.0299186348818471
523,44.0,0,1,57.9792,1,0,1,0,0.9956453318021794
525,40.5,0,0,7.75,0,1,0,1,0.06562971386406262
526,50.0,0,0,10.5,0,0,0,0,0.22214801409765345
528,39.0,0,0,7.925,0,1,0,0,0.08855511707030317
529,23.0,2,1,11.5,0,1,0,0,0.0003915651553255377
530,2.0,1,1,26.0,0,0,0,0,0.00631407003519791
532,17.0,1,1,7.2292,0,1,1,0,0.0022456350657076934
534,30.0,0,0,8.6625,0,0,0,0,0.05327681228594037
535,7.0,0,2,26.25,0,0,0,0,0.02848513349591031
536,45.0,0,0,26.55,1,1,0,0,0.7120868151965835
537,30.0,0,0,106.425,1,0,1,0,0.9999971026177914
539,22.0,0,2,49.5,1,0,1,0,0.854747658671758
540,36.0,0,2,71.0,1,0,0,0,0.994666942245455
541,9.0,4,2,31.275,0,0,0,0,2.0143333878255013e-05
542,11.0,4,2,31.275,0,0,0,0,2.304265335164483e-05
543,32.0,1,0,26.0,0,1,0,0,0.10931519170063224
544,50.0,1,0,106.425,1,1,1,0,0.999994463238876
545,64.0,0,0,26.0,1,1,0,0,0.8908441762932133
546,19.0,1,0,26.0,0,0,0,0,0.04630882031296728
548,33.0,1,1,20.525,0,1,0,0,0.02288684559430952
549,8.0,1,1,36.75,0,1,0,0,0.04895763873671129
550,17.0,0,2,110.8833,1,1,1,0,0.9999801612944677
551,27.0,0,0,26.0,0,1,0,0,0.40409726828179904
553,22.0,0,0,7.225,0,1,1,0,0.05599554406656486
554,22.0,0,0,7.775,0,0,0,0,0.027910865721135478
555,62.0,0,0,26.55,1,1,0,0,0.8858051641015623
556,48.0,1,0,39.6,1,0,1,0,0.8519567929592727
